user_id,university_id,email,password_hash,user_type,is_active,last_login,created_at
1,CS2024001,cs2024001@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-24T23:16:24.6800000,2025-04-11T23:12:38.0200000
2,CS2023002,cs2023002@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-10T23:16:24.6800000,2025-07-14T23:12:38.0200000
3,CS2022003,cs2022003@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-25T23:16:24.6800000,2025-05-30T23:12:38.0200000
4,CS2022004,cs2022004@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-01T23:16:24.6800000,2024-12-29T23:12:38.0200000
5,CS2022005,cs2022005@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-28T23:16:24.6800000,2025-07-28T23:12:38.0200000
6,CS2023006,cs2023006@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-02T23:16:24.6800000,2025-08-14T23:12:38.0200000
7,CS2021007,cs2021007@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-07T23:16:24.6800000,2025-02-13T23:12:38.0200000
8,CS2022008,cs2022008@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-03-03T23:12:38.0200000
9,CS2021009,cs2021009@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-27T23:16:24.6800000,2025-07-19T23:12:38.0200000
10,CS2023010,cs2023010@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-08T23:16:24.6800000,2025-11-25T23:12:38.0200000
11,CS2022011,cs2022011@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-25T23:16:24.6800000,2024-12-13T23:12:38.0200000
12,CS2022012,cs2022012@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-18T23:16:24.6800000,2025-07-11T23:12:38.0200000
13,CS2023013,cs2023013@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-24T23:16:24.6800000,2025-04-10T23:12:38.0200000
14,CS2021014,cs2021014@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-09T23:16:24.6800000,2025-10-09T23:12:38.0200000
15,CS2022015,cs2022015@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-05T23:16:24.6800000,2025-04-17T23:12:38.0233333
16,CS2021016,cs2021016@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-10T23:16:24.6800000,2025-01-17T23:12:38.0233333
17,CS2022017,cs2022017@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-09-19T23:12:38.0233333
18,CS2022018,cs2022018@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-01T23:16:24.6800000,2025-10-06T23:12:38.0233333
19,CS2022019,cs2022019@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-06T23:16:24.6800000,2025-04-18T23:12:38.0233333
20,CS2024020,cs2024020@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-12-03T23:16:24.6800000,2025-04-12T23:12:38.0233333
21,CS2023021,cs2023021@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-17T23:16:24.6800000,2025-05-18T23:12:38.0233333
22,CS2024022,cs2024022@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-22T23:16:24.6800000,2025-08-07T23:12:38.0233333
23,CS2023023,cs2023023@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-13T23:16:24.6800000,2025-06-22T23:12:38.0233333
24,CS2024024,cs2024024@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-05T23:16:24.6800000,2025-10-13T23:12:38.0233333
25,CS2024025,cs2024025@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-08T23:16:24.6800000,2025-04-12T23:12:38.0266667
26,CS2024026,cs2024026@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-19T23:16:24.6800000,2025-02-13T23:12:38.0266667
27,CS2024027,cs2024027@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2025-07-26T23:12:38.0266667
28,CS2023028,cs2023028@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-07T23:16:24.6800000,2025-10-28T23:12:38.0266667
29,CS2024029,cs2024029@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-05T23:16:24.6800000,2025-05-08T23:12:38.0266667
30,CS2021030,cs2021030@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-30T23:16:24.6800000,2025-05-28T23:12:38.0266667
31,CS2023031,cs2023031@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-28T23:16:24.6800000,2025-11-04T23:12:38.0300000
32,CS2022032,cs2022032@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-27T23:16:24.6800000,2024-12-15T23:12:38.0300000
33,CS2023033,cs2023033@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-16T23:16:24.6800000,2025-04-04T23:12:38.0300000
34,CS2024034,cs2024034@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-09-01T23:12:38.0300000
35,CS2023035,cs2023035@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-05-18T23:12:38.0300000
36,CS2021036,cs2021036@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-27T23:16:24.6800000,2025-07-21T23:12:38.0300000
37,CS2024037,cs2024037@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-05T23:16:24.6800000,2025-10-07T23:12:38.0300000
38,CS2022038,cs2022038@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,0,2025-11-15T23:16:24.6800000,2025-10-02T23:12:38.0300000
39,CS2024039,cs2024039@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-16T23:16:24.6800000,2025-09-30T23:12:38.0300000
40,CS2021040,cs2021040@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-08-01T23:12:38.0433333
41,CS2023041,cs2023041@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-23T23:16:24.6800000,2025-07-24T23:12:38.0466667
42,CS2022042,cs2022042@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-09T23:16:24.6800000,2025-11-23T23:12:38.0466667
43,CS2023043,cs2023043@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-12T23:16:24.6800000,2025-05-10T23:12:38.0466667
44,CS2022044,cs2022044@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-01T23:16:24.6800000,2025-03-09T23:12:38.0466667
45,CS2024045,cs2024045@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-08T23:16:24.6800000,2025-01-16T23:12:38.0466667
46,CS2024046,cs2024046@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-24T23:16:24.6800000,2025-04-22T23:12:38.0466667
47,CS2024047,cs2024047@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-04-29T23:12:38.0466667
48,CS2021048,cs2021048@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-03T23:16:24.6800000,2025-09-30T23:12:38.0466667
49,CS2021049,cs2021049@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-16T23:16:24.6800000,2025-10-14T23:12:38.0466667
50,CS2023050,cs2023050@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-08T23:16:24.6800000,2025-12-03T23:12:38.0466667
51,CS2023051,cs2023051@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-22T23:16:24.6800000,2025-07-19T23:12:38.0466667
52,CS2023052,cs2023052@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-26T23:16:24.6800000,2025-03-04T23:12:38.0466667
53,CS2023053,cs2023053@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-29T23:16:24.6800000,2025-08-24T23:12:38.0466667
54,CS2022054,cs2022054@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-21T23:16:24.6800000,2025-11-13T23:12:38.0500000
55,CS2023055,cs2023055@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-12-03T23:16:24.6800000,2025-11-17T23:12:38.0500000
56,CS2021056,cs2021056@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-07T23:16:24.6800000,2025-09-16T23:12:38.0500000
57,CS2024057,cs2024057@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-20T23:16:24.6800000,2025-05-20T23:12:38.0500000
58,CS2023058,cs2023058@university.edu,$2a$12$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,student,1,2025-11-17T23:16:24.6800000,2025-08-22T23:12:38.0500000
